P10_001N,P10_002N,P10_003N,P10_004N,P10_005N,P10_006N,P10_007N,P10_008N,P10_009N,state,county,tract,block group
0,0,0,0,0,0,0,0,0,42,101,980901,2
0,0,0,0,0,0,0,0,0,42,101,980901,3
1,0,0,0,0,0,0,0,1,42,101,980901,4
0,0,0,0,0,0,0,0,0,42,101,980901,5
8,7,0,3,1,3,0,0,1,42,101,980901,6
0,0,0,0,0,0,0,0,0,42,101,980901,7
1,1,1,0,0,0,0,0,0,42,101,980901,8
0,0,0,0,0,0,0,0,0,42,101,980902,1
6,3,0,3,0,0,0,0,3,42,101,980903,1
1,0,0,0,0,0,0,0,1,42,101,980904,1
0,0,0,0,0,0,0,0,0,42,101,989200,4
0,0,0,0,0,0,0,0,0,42,101,989200,5
0,0,0,0,0,0,0,0,0,42,101,989200,6
0,0,0,0,0,0,0,0,0,42,101,989200,7
1,1,1,0,0,0,0,0,0,42,101,989300,1
56,54,22,18,0,0,0,14,2,42,101,989300,2
0,0,0,0,0,0,0,0,0,42,101,980905,1
0,0,0,0,0,0,0,0,0,42,101,980906,1
1846,1846,188,1333,0,12,0,313,0,42,101,989100,1
1,1,0,0,0,1,0,0,0,42,101,989100,2
1819,1804,141,1360,0,18,0,285,15,42,101,989100,3
0,0,0,0,0,0,0,0,0,42,101,989100,4
0,0,0,0,0,0,0,0,0,42,101,989200,1
2,2,1,1,0,0,0,0,0,42,101,989200,2
0,0,0,0,0,0,0,0,0,42,101,989200,3
806,765,67,625,5,42,5,21,41,42,101,008500,6
718,688,166,473,2,39,0,8,30,42,101,008500,3
598,562,54,488,7,11,0,2,36,42,101,008500,4
931,889,64,768,7,31,0,19,42,42,101,008500,5
1010,973,37,871,15,40,3,7,37,42,101,008500,7
986,895,385,390,6,77,0,37,91,42,101,008601,1
1780,1668,1067,296,4,256,0,45,112,42,101,008601,2
1244,1130,314,602,4,171,0,39,114,42,101,008602,1
996,941,337,543,2,48,0,11,55,42,101,008602,2
687,655,172,435,3,26,0,19,32,42,101,008602,3
1025,953,724,85,4,123,0,17,72,42,101,008701,1
1089,1022,602,111,5,282,0,22,67,42,101,008701,2
1639,1532,707,300,1,455,0,69,107,42,101,008701,3
722,659,260,130,0,254,0,15,63,42,101,008702,1
1048,987,529,64,0,353,0,41,61,42,101,008702,2
1344,1255,802,97,0,342,0,14,89,42,101,008702,3
1557,1456,593,144,5,677,3,34,101,42,101,008801,1
963,846,533,53,0,232,2,26,117,42,101,008802,1
1273,1221,412,176,0,617,0,16,52,42,101,008802,2
1139,1017,654,64,1,264,0,34,122,42,101,008802,3
1801,1672,625,331,4,632,0,80,129,42,101,008802,4
1025,931,517,67,0,323,2,22,94,42,101,008802,5
2294,2240,1361,191,0,558,0,130,54,42,101,009000,1
1791,1670,1171,192,0,255,0,52,121,42,101,009000,2
3398,3289,2150,290,0,701,0,148,109,42,101,009000,3
933,891,472,193,1,184,0,41,42,42,101,009100,1
1319,1243,603,258,0,358,1,23,76,42,101,009100,2
1422,1350,349,602,3,360,1,35,72,42,101,009100,3
1318,1254,219,844,5,155,3,28,64,42,101,009200,1
1951,1840,627,786,3,364,1,59,111,42,101,009200,2
471,453,27,402,0,10,0,14,18,42,101,009300,1
664,628,27,577,0,8,0,16,36,42,101,009300,2
588,553,66,463,5,8,0,11,35,42,101,009300,3
608,580,29,528,4,6,0,13,28,42,101,009300,4
910,874,25,829,1,8,0,11,36,42,101,009300,5
456,421,1,395,1,10,0,14,35,42,101,009400,1
1116,1017,587,145,1,198,0,86,99,42,101,033702,1
891,805,517,63,3,168,0,54,86,42,101,033701,2
559,526,435,30,0,49,1,11,33,42,101,033701,3
1465,1322,942,138,2,142,2,96,143,42,101,033701,4
1812,1686,1112,161,1,302,0,110,126,42,101,033702,2
832,763,439,74,5,196,0,49,69,42,101,033702,3
672,624,388,52,0,148,0,36,48,42,101,033702,4
1479,1333,732,284,5,154,0,158,146,42,101,033800,1
1908,1821,1214,302,4,113,0,188,87,42,101,033800,2
1549,1439,1015,171,2,139,0,112,110,42,101,033800,3
1053,1000,841,67,0,51,0,41,53,42,101,033900,1
1387,1312,807,311,4,77,0,113,75,42,101,033900,2
880,812,702,48,2,41,0,19,68,42,101,034000,1
890,846,570,66,0,134,0,76,44,42,101,034000,2
572,535,426,37,0,39,0,33,37,42,101,034000,3
1337,1277,1061,119,2,57,0,38,60,42,101,034100,1
1401,1309,1010,168,3,49,0,79,92,42,101,034100,2
1026,977,835,48,1,63,0,30,49,42,101,034100,3
900,873,773,37,2,22,0,39,27,42,101,034100,4
1300,1261,985,153,0,103,0,20,39,42,101,034200,1
1809,1726,1384,186,3,103,0,50,83,42,101,034200,2
1463,1438,974,125,0,303,0,36,25,42,101,034400,1
1368,1290,1012,91,1,141,0,45,78,42,101,034400,2
